User ID,Business ID,Stars
--4q8EyqThydQm-eKZpS-A,HJFKqzhV4n4ZWepneOzFhQ,2.6508020059371327
--4q8EyqThydQm-eKZpS-A,cyV6Y8eOgpDTtdJQnB6FaA,1.615118221852685
--CIuK7sUpaNzalLAlHJKA,1VKjDpPJdVoiRc8I9f7U9g,3.174297054781109
--CIuK7sUpaNzalLAlHJKA,W14x63uiKkxxGVEaaPMmCw,2.7650936250317235
--CIuK7sUpaNzalLAlHJKA,qEy8B6vZSe1fdy_vmB7qNw,2.7265853476554387
--ZNfWKj1VyVElRx6-g1fg,2iTsRqUsPGRH1li1WVRvKQ,4.153537935612995
--ZNfWKj1VyVElRx6-g1fg,7FcpuLQHNFA9xz8B3PGYNg,3.093876020763795
--ZNfWKj1VyVElRx6-g1fg,N0CoaG3cBrTGm2ecLYSzqA,4.122365577030134
--ZhEc-CDZZY1gYrbYoFyQ,iw0lfglq24nN9ck_FCM2ug,3.111111111111111
--ty7Z9fEt08E3dS3_qoSA,HhVmDybpU7L50Kb5A0jXTg,3.651467666654734
--ty7Z9fEt08E3dS3_qoSA,udrIB4tIAtZQOGAiukQ2Rg,3.8881453468354676
-0-DbdhS2CIoq7cfuSzQ2w,w-i7W83j1saHp9KzU5b_rg,2.857142857142857
-0AyZxS5C--WySnbW_Q8yQ,-N6P0nQvzrtPn0b7s7wV1A,2.6889875478323653
-0AyZxS5C--WySnbW_Q8yQ,Orgm9nmcClxnAUva4nOKyA,2.7898713756757
-0SqALqeWmInVftG_iHcHg,q18xbq3Cbyp_BJyfMQxFxg,3.612649859511292
-0YAkcxgYRlVk05qSNLz9w,2nE-LBTag6YuJOXARrP3og,4.433533026557477
-0aInSHjCWLfiNqfgmWnow,2dOS56h2QueEIDAdP9-1TQ,4.4186128579205945
-0aInSHjCWLfiNqfgmWnow,6oKZoCI_0ePyzfRqSFMBig,4.243371316376853
-0aInSHjCWLfiNqfgmWnow,7o2BZbRWeBIInSCf5b_SvA,3.628500097582898
-0aInSHjCWLfiNqfgmWnow,BS2nj4dQKvC5oi6ikKvX0A,3.1498609373054616
-0aInSHjCWLfiNqfgmWnow,IjeyNYr4kefZ2uZfrtJqZg,4.340845378319692
-0aInSHjCWLfiNqfgmWnow,S37sKRRfkhFZRpxaYzWo_A,4.131792413024042
-0aInSHjCWLfiNqfgmWnow,YPavuOh2XsnRbLfl0DH2lQ,4.36350747774113
-0b84SUGVN0YkG5j2MCmBw,9TCzxlrOZSIFcBlvHIUgFA,4.478970973414786
-0b84SUGVN0YkG5j2MCmBw,GiN0YC3iDz-pownt0B_RQA,4.251105255913644
-0b84SUGVN0YkG5j2MCmBw,KbPB9h5kvqzNa2ys0NrvrA,4.736468316599909
-0b84SUGVN0YkG5j2MCmBw,_5UAFrD3EDgJO1aZgRxH7w,3.855448974744053
-0b84SUGVN0YkG5j2MCmBw,rANNcpPvv9EezHF-6kYCMg,4.342194747016365
-0b84SUGVN0YkG5j2MCmBw,wcFscp4-QH0PJeIW1EOQEQ,2.798589479158805
-0lFv3aQ5XI9VdiDwsL2vA,Z0YOHYA6YtW131xULbnMzQ,4.044100490244799
-0sb1xcZWR0JqSliyHXkeA,v9u0NgjA4iQeKGevFnYSCA,1.2873326788527009
-1_RJoRLeoDK3h_gNjf7UA,A4zLP5AyKEEHQr_dWEZKig,4.021164772740118
-1xh43lAhmrByuMzcQ2sNw,deL9fV4Jw3XhS0WqGRKgiA,3.740254954212432
-24B_nkBG6Et1_QJecnN2A,iihSyIgl_1Kz7QU5s0R7bQ,3.2713582655822684
-267Yx8RmdP6io2-qI4UcQ,59YbAeuiz0isJtRNKATTKw,3.5640677530783234
-267Yx8RmdP6io2-qI4UcQ,HhVmDybpU7L50Kb5A0jXTg,3.31653110081674
-267Yx8RmdP6io2-qI4UcQ,Jur1iiejUFw_YCkfDfy1gQ,3.478875209220853
-267Yx8RmdP6io2-qI4UcQ,OARQDsxyoGnnX2FfSl9HjA,4.195656105159152
-267Yx8RmdP6io2-qI4UcQ,QsKhwKYB3YeWXqpIPd5QMg,3.570079634028141
-267Yx8RmdP6io2-qI4UcQ,UNI1agsPX2k3eJSJVB91nw,4.022597955417281
-267Yx8RmdP6io2-qI4UcQ,ZAuAwz1ijuydn5yL3q3rzA,4.174308162682693
-267Yx8RmdP6io2-qI4UcQ,cL1hu4ntD1UV5Gewz_esng,4.055015193944887
-267Yx8RmdP6io2-qI4UcQ,evbEh0qRFWlqliHOy62c0A,3.715347061126466
-267Yx8RmdP6io2-qI4UcQ,hYX0z2C6Th5XmcrKOP31fQ,3.7932449951071594
-267Yx8RmdP6io2-qI4UcQ,ppHkkuDvvH8g1Enz6F8OJA,3.678672218912612
-267Yx8RmdP6io2-qI4UcQ,w2-mJdU8xigRIGWeJiJ6fQ,3.269478039242438
-267Yx8RmdP6io2-qI4UcQ,w2yx8dfNXi3TcPZSdQOw3A,3.641028739082122
-267Yx8RmdP6io2-qI4UcQ,z-ac4aPTz64j2ehH7qfqcg,4.133308228690344
